batavg,batsr,bowlavg,bowleco,bowlsr,ball_no,innings,runs
22.12,135.11,27.63,7.12,23.2,2.3,1,0
22.12,135.11,27.63,7.12,23.2,2.4,1,1
22.12,135.11,27.63,7.12,23.2,2.6,1,0
28.5,127.88,24.81,7.72,19.2,3.2,1,0
28.5,127.88,24.81,7.72,19.2,3.3,1,1
22.12,135.11,24.81,7.72,19.2,3.4,1,6
22.12,135.11,24.81,7.72,19.2,3.5,1,0
22.12,135.11,24.81,7.72,19.2,3.6,1,0
28.5,127.88,27.63,7.12,23.2,4.1,1,1
22.12,135.11,27.63,7.12,23.2,4.2,1,2
22.12,135.11,27.63,7.12,23.2,4.3,1,4
22.12,135.11,27.63,7.12,23.2,4.4,1,0
22.12,135.11,27.63,7.12,23.2,4.5,1,4
22.12,135.11,27.63,7.12,23.2,4.6,1,0
22.12,135.11,16.66,8.33,12,6.1,1,0
22.12,135.11,16.66,8.33,12,6.2,1,1
28.5,127.88,16.66,8.33,12,6.3,1,1
22.12,135.11,16.66,8.33,12,6.4,1,0
22.12,135.11,16.66,8.33,12,6.5,1,4
22.12,135.11,16.66,8.33,12,6.6,1,6
22.12,135.11,16.66,8.33,12,8.1,1,7
39.3,131.43,16.66,8.33,12,8.2,1,1
28.5,127.88,16.66,8.33,12,8.3,1,1
39.3,131.43,16.66,8.33,12,8.4,1,0
39.3,131.43,16.66,8.33,12,8.5,1,1
28.5,127.88,16.66,8.33,12,8.6,1,1
28.5,127.88,33,5.5,36,9.1,1,1
39.3,131.43,33,5.5,36,9.2,1,6
39.3,131.43,33,5.5,36,9.3,1,6
39.3,131.43,33,5.5,36,9.4,1,1
28.5,127.88,33,5.5,36,9.5,1,1
39.3,131.43,33,5.5,36,9.6,1,0
28.5,127.88,16.66,8.33,12,10.1,1,1
39.3,131.43,16.66,8.33,12,10.2,1,7
28.5,127.88,16.66,8.33,12,10.3,1,1
25.76,125.93,16.66,8.33,12,10.4,1,0
25.76,125.93,16.66,8.33,12,10.5,1,1
28.5,127.88,16.66,8.33,12,10.6,1,1
28.5,127.88,39,9.75,24,11.1,1,0
28.5,127.88,39,9.75,24,11.2,1,0
28.5,127.88,39,9.75,24,11.3,1,1
25.76,125.93,39,9.75,24,11.4,1,1
28.5,127.88,39,9.75,24,11.5,1,4
28.5,127.88,39,9.75,24,11.6,1,1
28.5,127.88,27.63,7.12,23.2,12.1,1,1
25.76,125.93,27.63,7.12,23.2,12.2,1,4
25.76,125.93,27.63,7.12,23.2,12.3,1,1
28.5,127.88,27.63,7.12,23.2,12.4,1,1
25.76,125.93,27.63,7.12,23.2,12.5,1,0
25.76,125.93,27.63,7.12,23.2,12.6,1,0
28.5,127.88,24.81,7.72,19.2,13.1,1,0
28.5,127.88,24.81,7.72,19.2,13.2,1,2
28.5,127.88,24.81,7.72,19.2,13.3,1,2
28.5,127.88,24.81,7.72,19.2,13.4,1,1
25.76,125.93,24.81,7.72,19.2,13.5,1,1
28.5,127.88,24.81,7.72,19.2,13.6,1,1
28.5,127.88,27.63,7.12,23.2,14.1,1,1
25.76,125.93,27.63,7.12,23.2,14.2,1,1
28.5,127.88,27.63,7.12,23.2,14.3,1,1
25.76,125.93,27.63,7.12,23.2,14.4,1,4
25.76,125.93,27.63,7.12,23.2,14.5,1,1
28.5,127.88,27.63,7.12,23.2,14.6,1,1
28.5,127.88,16.66,8.33,12,15.1,1,1
25.76,125.93,16.66,8.33,12,15.2,1,1
28.5,127.88,16.66,8.33,12,15.3,1,0
28.5,127.88,16.66,8.33,12,15.4,1,2
28.5,127.88,16.66,8.33,12,15.5,1,0
28.5,127.88,16.66,8.33,12,15.6,1,1
28.5,127.88,24.81,7.72,19.2,16.1,1,1
25.76,125.93,24.81,7.72,19.2,16.2,1,1
28.5,127.88,24.81,7.72,19.2,16.3,1,1
25.76,125.93,24.81,7.72,19.2,16.4,1,1
28.5,127.88,24.81,7.72,19.2,16.5,1,1
25.76,125.93,24.81,7.72,19.2,16.6,1,6
28.5,127.88,39,9.75,24,17.1,1,1
25.76,125.93,39,9.75,24,17.2,1,0
25.76,125.93,39,9.75,24,17.3,1,1
28.5,127.88,39,9.75,24,17.4,1,0
28.5,127.88,39,9.75,24,17.5,1,4
28.5,127.88,39,9.75,24,17.6,1,1
25.76,125.93,39,9.75,24,17.7,1,4
25.76,125.93,39,9.75,24,19.1,1,0
28.5,127.88,39,9.75,24,19.2,1,1
25.76,125.93,39,9.75,24,19.3,1,4
25.76,125.93,39,9.75,24,19.4,1,4
25.76,125.93,39,9.75,24,19.5,1,7
28.5,127.88,39,9.75,24,19.6,1,4
38.53,121.89,44.55,7.78,34.3,0.1,2,1
25,113.63,44.55,7.78,34.3,0.2,2,0
25,113.63,44.55,7.78,34.3,0.3,2,1
38.53,121.89,44.55,7.78,34.3,0.4,2,0
38.53,121.89,44.55,7.78,34.3,0.5,2,1
25,113.63,44.55,7.78,34.3,0.6,2,4
38.53,121.89,20.22,7.42,16.3,1.1,2,1
25,113.63,20.22,7.42,16.3,1.2,2,6
25,113.63,20.22,7.42,16.3,1.3,2,1
38.53,121.89,20.22,7.42,16.3,1.4,2,4
